name,password,type
2017000000,2017000000,学生
2005000001,2005000001,学生
2020000002,2020000002,学生
2003000003,2003000003,学生
2014000004,2014000004,学生
2013000005,2013000005,学生
2009000006,2009000006,学生
2002000007,2002000007,学生
2004000008,2004000008,学生
2017000009,2017000009,学生
2020000010,2020000010,学生
2018000011,2018000011,学生
2009000012,2009000012,学生
2012000013,2012000013,学生
2011000014,2011000014,学生
2019000015,2019000015,学生
2001000016,2001000016,学生
2009000017,2009000017,学生
2005000018,2005000018,学生
2007000019,2007000019,学生
2020000020,2020000020,学生
2015000021,2015000021,学生
2002000022,2002000022,学生
2016000023,2016000023,学生
2014000024,2014000024,学生
2000000025,2000000025,学生
2017000026,2017000026,学生
2019000027,2019000027,学生
2008000028,2008000028,学生
2003000029,2003000029,学生
2009000030,2009000030,学生
2003000031,2003000031,学生
2001000032,2001000032,学生
2016000033,2016000033,学生
2007000034,2007000034,学生
2005000035,2005000035,学生
2011000036,2011000036,学生
2010000037,2010000037,学生
2004000038,2004000038,学生
2014000039,2014000039,学生
2009000040,2009000040,学生
2011000041,2011000041,学生
2011000042,2011000042,学生
2013000043,2013000043,学生
2000000044,2000000044,学生
2010000045,2010000045,学生
2000000046,2000000046,学生
2003000047,2003000047,学生
2012000048,2012000048,学生
2011000049,2011000049,学生
2009000050,2009000050,学生
2013000051,2013000051,学生
2006000052,2006000052,学生
2013000053,2013000053,学生
2006000054,2006000054,学生
2019000055,2019000055,学生
2014000056,2014000056,学生
2005000057,2005000057,学生
2004000058,2004000058,学生
2015000059,2015000059,学生
2000000060,2000000060,学生
2014000061,2014000061,学生
2019000062,2019000062,学生
2015000063,2015000063,学生
2013000064,2013000064,学生
2005000065,2005000065,学生
2006000066,2006000066,学生
2016000067,2016000067,学生
2019000068,2019000068,学生
2019000069,2019000069,学生
2018000070,2018000070,学生
2000000071,2000000071,学生
2012000072,2012000072,学生
2005000073,2005000073,学生
2009000074,2009000074,学生
2015000075,2015000075,学生
2018000076,2018000076,学生
2015000077,2015000077,学生
2016000078,2016000078,学生
2010000079,2010000079,学生
2005000080,2005000080,学生
2009000081,2009000081,学生
2011000082,2011000082,学生
2017000083,2017000083,学生
2011000084,2011000084,学生
2011000085,2011000085,学生
2018000086,2018000086,学生
2002000087,2002000087,学生
2016000088,2016000088,学生
2019000089,2019000089,学生
2016000090,2016000090,学生
2014000091,2014000091,学生
2014000092,2014000092,学生
2007000093,2007000093,学生
2020000094,2020000094,学生
2003000095,2003000095,学生
2020000096,2020000096,学生
2013000097,2013000097,学生
2004000098,2004000098,学生
2015000099,2015000099,学生
2006000100,2006000100,学生
2014000101,2014000101,学生
2012000102,2012000102,学生
2016000103,2016000103,学生
2020000104,2020000104,学生
2018000105,2018000105,学生
2002000106,2002000106,学生
2010000107,2010000107,学生
2018000108,2018000108,学生
2020000109,2020000109,学生
2000000110,2000000110,学生
2012000111,2012000111,学生
2017000112,2017000112,学生
2010000113,2010000113,学生
2007000114,2007000114,学生
2011000115,2011000115,学生
2016000116,2016000116,学生
2006000117,2006000117,学生
2019000118,2019000118,学生
2007000119,2007000119,学生
2005000120,2005000120,学生
2018000121,2018000121,学生
2016000122,2016000122,学生
2020000123,2020000123,学生
2010000124,2010000124,学生
2011000125,2011000125,学生
2015000126,2015000126,学生
2006000127,2006000127,学生
2010000128,2010000128,学生
2008000129,2008000129,学生
2019000130,2019000130,学生
2015000131,2015000131,学生
2001000132,2001000132,学生
2019000133,2019000133,学生
2005000134,2005000134,学生
2000000135,2000000135,学生
2003000136,2003000136,学生
2009000137,2009000137,学生
2001000138,2001000138,学生
2014000139,2014000139,学生
2019000140,2019000140,学生
2015000141,2015000141,学生
2001000142,2001000142,学生
2000000143,2000000143,学生
2006000144,2006000144,学生
2009000145,2009000145,学生
2018000146,2018000146,学生
2008000147,2008000147,学生
2002000148,2002000148,学生
2011000149,2011000149,学生
2007000150,2007000150,学生
2019000151,2019000151,学生
2009000152,2009000152,学生
2015000153,2015000153,学生
2015000154,2015000154,学生
2000000155,2000000155,学生
